geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
3057145,de,EU,Europa,SK,Slowakei,TC,"Region Trenčín",,,,,Europe/Bratislava,1
3057160,de,EU,Europa,SK,Slowakei,NI,"Nitriansky kraj",,,,,Europe/Bratislava,1
3057170,de,EU,Europa,SK,Slowakei,TA,"Tyrnauer Landschaftsverband",,,,,Europe/Bratislava,1
3057174,de,EU,Europa,SK,Slowakei,NI,"Nitriansky kraj",,,Topoltschan,,Europe/Bratislava,1
3057182,de,EU,Europa,SK,Slowakei,BL,"Bratislavský kraj",,,,,Europe/Bratislava,1
3057205,de,EU,Europa,SK,Slowakei,NI,"Nitriansky kraj",,,,,Europe/Bratislava,1
3057228,de,EU,Europa,SK,Slowakei,NI,"Nitriansky kraj",,,,,Europe/Bratislava,1
3057234,de,EU,Europa,SK,Slowakei,NI,"Nitriansky kraj",,,,,Europe/Bratislava,1
3057339,de,EU,Europa,SK,Slowakei,NI,"Nitriansky kraj",,,Šurany,,Europe/Bratislava,1
3057365,de,EU,Europa,SK,Slowakei,TA,"Tyrnauer Landschaftsverband",,,,,Europe/Bratislava,1
3057376,de,EU,Europa,SK,Slowakei,TA,"Tyrnauer Landschaftsverband",,,,,Europe/Bratislava,1
3057379,de,EU,Europa,SK,Slowakei,NI,"Nitriansky kraj",,,Štúrovo,,Europe/Bratislava,1
3057384,de,EU,Europa,SK,Slowakei,BL,"Bratislavský kraj",,,Stampfen,,Europe/Bratislava,1
3057412,de,EU,Europa,SK,Slowakei,ZI,"Žilinský kraj",,,,,Europe/Bratislava,1
3057446,de,EU,Europa,SK,Slowakei,ZI,"Žilinský kraj",,,,,Europe/Bratislava,1
3057478,de,EU,Europa,SK,Slowakei,BL,"Bratislavský kraj",,,,,Europe/Bratislava,1
3057480,de,EU,Europa,SK,Slowakei,TC,"Region Trenčín",,,,,Europe/Bratislava,1
3057559,de,EU,Europa,SK,Slowakei,BL,"Bratislavský kraj",,,,,Europe/Bratislava,1
3057568,de,EU,Europa,SK,Slowakei,,,,,,,Europe/Bratislava,1
3057576,de,EU,Europa,SK,Slowakei,BC,"Banskobystrický kraj",,,,,Europe/Bratislava,1
3057627,de,EU,Europa,SK,Slowakei,ZI,"Žilinský kraj",,,,,Europe/Bratislava,1
3057630,de,EU,Europa,SK,Slowakei,TA,"Tyrnauer Landschaftsverband",,,,,Europe/Bratislava,1
3057685,de,EU,Europa,SK,Slowakei,TA,"Tyrnauer Landschaftsverband",,,,,Europe/Bratislava,1
3057691,de,EU,Europa,SK,Slowakei,TA,"Tyrnauer Landschaftsverband",,,,,Europe/Bratislava,1
3057692,de,EU,Europa,SK,Slowakei,BL,"Bratislavský kraj",,,Senec,,Europe/Bratislava,1
