tld,dest_nt_domain,metadata_link
earth,*.earth,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
eat,*.eat,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
ec,*.ec,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
eco,*.eco,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
edeka,*.edeka,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
edu,*.edu,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
education,*.education,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
ee,*.ee,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
eg,*.eg,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
email,*.email,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
emerck,*.emerck,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
energy,*.energy,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
engineer,*.engineer,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
engineering,*.engineering,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
enterprises,*.enterprises,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
epson,*.epson,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
